,0,1
128,0.00017931760413814136,Functional_Maj1
129,0.0001747799068087807,Exterior2nd_Plywood
130,0.00017415076713204867,BldgType_Duplex
131,0.00017315285235142461,BldgType_TwnhsE
132,0.0001731505634772788,Exterior2nd_HdBoard
133,0.0001686043761328578,GarageCond_Gd
134,0.00016353625255477973,FireplaceQu_TA
135,0.00016311612785158312,BsmtQual_Fa
136,0.0001562077984467276,BsmtCond_Po
137,0.0001387105684687947,LotShape_IR2
138,0.0001349550766573185,Exterior2nd_AsphShn
139,0.00013487614947807155,BsmtExposure_No Value
140,0.0001299499146627838,GarageCond_Po
141,0.0001271891548872863,ExterQual_Fa
142,0.00012575740174209583,LotConfig_Inside
143,0.00012197820950312451,Alley_No Value
144,0.00012074880540853644,PoolQC_Fa
